ATPase_Vmax_frac,count,ATPase_Vmax_frac_median,Glucose_media_median,Glucose_median,G6P_median,F6P_median,F16BP_median,GAP_median,DHAP_median,BPG_median,ThreePG_median,TwoPG_median,PEP_median,Pyruvate_median,Lactate_median,Lactate_media_median,ATP_median,ADP_median,AMP_median,Phosphate_median,NAD_median,NADH_median,F26BP_median,Citrate_median,Phenylalanine_median,ATPprod_ATPase_ratios_median,ATPase_Vmax_frac_qlow,Glucose_media_qlow,Glucose_qlow,G6P_qlow,F6P_qlow,F16BP_qlow,GAP_qlow,DHAP_qlow,BPG_qlow,ThreePG_qlow,TwoPG_qlow,PEP_qlow,Pyruvate_qlow,Lactate_qlow,Lactate_media_qlow,ATP_qlow,ADP_qlow,AMP_qlow,Phosphate_qlow,NAD_qlow,NADH_qlow,F26BP_qlow,Citrate_qlow,Phenylalanine_qlow,ATPprod_ATPase_ratios_qlow,ATPase_Vmax_frac_qhigh,Glucose_media_qhigh,Glucose_qhigh,G6P_qhigh,F6P_qhigh,F16BP_qhigh,GAP_qhigh,DHAP_qhigh,BPG_qhigh,ThreePG_qhigh,TwoPG_qhigh,PEP_qhigh,Pyruvate_qhigh,Lactate_qhigh,Lactate_media_qhigh,ATP_qhigh,ADP_qhigh,AMP_qhigh,Phosphate_qhigh,NAD_qhigh,NADH_qhigh,F26BP_qhigh,Citrate_qhigh,Phenylalanine_qhigh,ATPprod_ATPase_ratios_qhigh
0.014999999999999996,9941,0.014999999999999996,0.010890000000000002,0.010795312546869352,0.002305824272804008,0.0007852863739228914,0.0010300486473793146,1.3331398728048102e-5,0.0004948677019787893,0.00031040810153167855,0.0003049449763998485,7.782636833299524e-5,0.00024544091539437324,0.002204946408230598,0.0009280077666177378,0.0008712000000000001,0.0037497668681065474,3.6590860577975213e-6,9.571373012255543e-10,0.000754047552222771,0.0004279276064846841,8.977226451470424e-8,0.0,0.0,0.0,0.9996239435045451,0.014999999999999996,0.010890000000000002,0.010593464026439799,0.00034689786563254013,0.00014160043786182736,2.020193433135033e-5,1.6527625204647819e-6,2.919698596156895e-5,3.3197186208691996e-9,2.696413663991724e-7,2.1307225140727483e-7,1.4297223798672594e-7,0.0008840501231240738,0.0008922323562193882,0.0008712000000000001,0.00015385341959684606,1.3140313488310857e-6,1.2572500230800007e-10,1.187523430414503e-6,0.00032966415335813546,5.1764610010623926e-8,0.0,0.0,0.0,0.9910494376486301,0.014999999999999996,0.010890000000000002,0.01085156657466033,0.003709643246748452,0.0015895659285039784,0.006457643294832177,0.0001115145680412726,0.0017464626393184728,0.0009862702651057499,0.0007320392550060672,0.00015938100048377908,0.0005878382211453907,0.0038838241697782038,0.0012127576416846174,0.0008712000000000001,0.004587486434969947,0.0012139715496900208,0.0028437673997918278,0.0038979052583654156,0.000527178496997725,2.4189400527333316e-7,0.0,0.0,0.0,0.9998562057687934
0.016239551008110815,9927,0.016239551008110815,0.010890000000000002,0.010787133251402492,0.002159352241183006,0.0007452702905342844,0.0010126451524103972,1.3163788499311045e-5,0.000491110893403337,0.0003422465510288073,0.0003214130107555391,8.110376232006033e-5,0.0002620662680999775,0.0021342119022772564,0.0009329453287335759,0.0008712000000000001,0.003771279962454561,3.4669618689909804e-6,8.508051391699381e-10,0.0008948688438761367,0.0004279176050186994,9.367285955490952e-8,0.0,0.0,0.0,0.9996002921735408,0.016239551008110815,0.010890000000000002,0.010574516074072959,0.0004045145913380732,0.00015703986028668096,1.1246343074647083e-5,1.3918580971194786e-6,2.104571761323899e-5,4.231568060096527e-9,3.328239877246319e-7,2.6097698696208297e-7,1.76078713562407e-7,0.0008447428418265543,0.0008940768803182314,0.0008712000000000001,0.00018919186903495902,1.2795315136327743e-6,1.1860209013984443e-10,1.4445747804656973e-6,0.00032863274300114003,5.340801819261845e-8,0.0,0.0,0.0,0.9923445516156322,0.016239551008110815,0.010890000000000002,0.010847963099915037,0.0034648281642262815,0.001498499432872039,0.006221306118269746,0.00010755987599408088,0.0016804422773261192,0.00101314425523427,0.0007523021709484283,0.00016248344641648534,0.000613865451533895,0.0038124244370511757,0.0012752660414370898,0.0008712000000000001,0.004582856001624608,0.0011816398229501223,0.002670298415824388,0.0042421313335496815,0.0005268866556016998,2.4973671888500995e-7,0.0,0.0,0.0,0.9998542131963996
0.017581534463002195,9926,0.017581534463002195,0.010890000000000002,0.010779270101016203,0.00200351984208389,0.0006928362491253603,0.0010262175458990983,1.2991601834220167e-5,0.0004966988491877436,0.00036979847648897676,0.00033912871066559875,8.414736679215739e-5,0.00027386954159526716,0.0021164102315951476,0.0009385636876890133,0.0008712000000000001,0.0037776890752035516,3.3964588385998166e-6,7.900017786565013e-10,0.0010369332377233832,0.000427067279000739,9.618462687053531e-8,0.0,0.0,0.0,0.9995693885880355,0.017581534463002195,0.010890000000000002,0.010530650897243525,0.00041814402804733546,0.00015564125564374476,7.3933277254014924e-6,1.051006922585768e-6,1.9027800750022268e-5,5.3326095900789075e-9,4.0953508736645554e-7,3.045040446487618e-7,2.0865049164326227e-7,0.0008291500946817276,0.0008956695066238893,0.0008712000000000001,0.00019981679958408063,1.2848130612738288e-6,1.2109461942577998e-10,1.7483025051621582e-6,0.0003290902233562793,5.4954146963434005e-8,0.0,0.0,0.0,0.9926770032631278,0.017581534463002195,0.010890000000000002,0.010844509153505346,0.0032325488310518944,0.001405957550692927,0.006085891275164193,0.00011245662917916586,0.0016107524863720833,0.0010320723019706898,0.0007666640235374078,0.00016621794285123727,0.0006312827917989912,0.0037906501388409604,0.0013025367112882479,0.0008712000000000001,0.004593550275576139,0.0011110470262410117,0.0025739235521146805,0.004564174296439537,0.0005252418971323827,2.5823065112083506e-7,0.0,0.0,0.0,0.9998455040086187
0.019034415047518828,9925,0.019034415047518828,0.010890000000000002,0.010767855521509509,0.0018555303399170016,0.0006419417122544914,0.0009786494147867868,1.2509617947503972e-5,0.0004750889433026921,0.0003918618717257055,0.0003541660544321528,8.659417405535313e-5,0.00028286987937642285,0.0020711440883296687,0.0009426341346783821,0.0008712000000000001,0.0037906732042728894,3.357384016003571e-6,7.895310898284636e-10,0.0012120871031205801,0.0004297540889214612,9.985916413645707e-8,0.0,0.0,0.0,0.999527322828993,0.019034415047518828,0.010890000000000002,0.010515811141920389,0.0005394923380344134,0.0001675646460099634,2.7784792701439597e-6,6.786856436312921e-7,1.2348655900630188e-5,7.113333054286643e-9,5.412977848333343e-7,3.814190773139684e-7,2.6368939886702487e-7,0.0008130913157722436,0.0008976408770183556,0.0008712000000000001,0.00026647650735862904,1.2987952197725875e-6,1.219734387880538e-10,2.1373822290478073e-6,0.0003274209064781469,5.696174727849964e-8,0.0,0.0,0.0,0.9940041639308009,0.019034415047518828,0.010890000000000002,0.010840174874543263,0.0030472204115719955,0.0013318633090134654,0.005696153889321138,0.00010092469859564846,0.0015471157018954198,0.001040504115290378,0.0007927462920131165,0.00017238632974679282,0.0006423501110049868,0.0036942609644499327,0.0013983556129606777,0.0008712000000000001,0.004596485740672494,0.0010655933061519461,0.0023682586377263577,0.005273481393624364,0.0005246767506837097,2.68377203905954e-7,0.0,0.0,0.0,0.9998408641896167
0.02060735693824894,9918,0.02060735693824894,0.010890000000000002,0.010758978417197126,0.0017163939036864005,0.0005965072086377078,0.0009454646381182215,1.235438969946583e-5,0.00046923190023408733,0.00040892561998847476,0.0003626151807407482,8.790455610312445e-5,0.0002896420880292707,0.0020117389752781815,0.0009497675076055799,0.0008712000000000001,0.003791897651964247,3.292109352864348e-6,7.637738913250657e-10,0.0014228535768063492,0.0004288741823432088,1.0527301384783187e-7,0.0,0.0,0.0,0.9994782718791559,0.02060735693824894,0.010890000000000002,0.010483846743462392,0.0008588151141112397,0.00018618774307656196,1.8921621914138167e-6,5.259830018314438e-7,9.22938786334822e-6,1.4367347642961518e-8,1.0703537658163914e-6,7.587133131630339e-7,4.785650416802518e-7,0.0007607350753339677,0.0008998815871621167,0.0008712000000000001,0.0006132803332252479,1.2725809857655273e-6,1.2064389893741866e-10,3.6814129480060004e-6,0.0003279245464302518,5.986604614441645e-8,0.0,0.0,0.0,0.9965974578296272,0.02060735693824894,0.010890000000000002,0.010835470791441197,0.002803519083085302,0.001224412842081136,0.004616620035390828,0.0001174802670614157,0.0014657156483950467,0.0010669441958258928,0.0008164738107270231,0.00017238617489609995,0.0006563054522453009,0.0036440380824411104,0.0013940288584192316,0.0008712000000000001,0.00460979328385029,0.0008604887798126345,0.001712449059885584,0.005677737825005345,0.0005259812397971882,2.838770860136959e-7,0.0,0.0,0.0,0.9998345500568577
0.022310281609402672,9925,0.022310281609402672,0.010890000000000002,0.010748542964011319,0.0015821962026293203,0.0005502463658318833,0.0009281444492457684,1.2228557232626178e-5,0.0004556442241078608,0.0004157199742884176,0.0003693914615395612,8.931249813768067e-5,0.00029500107662571926,0.0020027269498563106,0.000957830541237957,0.0008712000000000001,0.0037989955166003843,3.3832912703573185e-6,7.99536038411617e-10,0.0016032882390761463,0.000428931016166272,1.0905316616546301e-7,0.0,0.0,0.0,0.9994328686195788,0.022310281609402672,0.010890000000000002,0.010436250092208523,0.0008416626204651174,0.000178552079463379,1.5180388289906812e-6,5.105260495066161e-7,7.445220804959216e-6,4.967503919148045e-5,2.4113585653899943e-5,1.2175080524104646e-5,2.2811583004792638e-5,0.0007372057602585613,0.0009030981540767571,0.0008712000000000001,0.002671142911583721,1.2937273551494298e-6,1.2378194436781904e-10,7.073073502524494e-5,0.0003311932951525843,6.259725603085078e-8,0.0,0.0,0.0,0.9972982827082795,0.022310281609402672,0.010890000000000002,0.01083082798430614,0.0025646901720044394,0.0011215639243122239,0.003488218029210968,0.00010163859935937827,0.001432349043353974,0.0010600621667228648,0.0008351723538083688,0.00017675444297132672,0.0006695390511719037,0.003652719946235554,0.0014778242027593711,0.0008712000000000001,0.004583719683321356,0.00014746446093333253,2.4863502821249106e-6,0.006127792541564528,0.0005285861165361314,3.068458215001784e-7,0.0,0.0,0.0,0.9998276071108605
0.02415393041341408,9905,0.02415393041341408,0.010890000000000002,0.010736656345953296,0.001462185878072695,0.0005168736379546938,0.0008614739302147498,1.1885592751932176e-5,0.00044370007199477505,0.0004219171014787896,0.00037351383999369663,9.034164676016845e-5,0.00029791078077911484,0.0020033683595684793,0.0009647373062758609,0.0008712000000000001,0.003803414815272572,3.465124147859306e-6,8.230341940454666e-10,0.0018487596957320789,0.00042730755650628456,1.1317808059093503e-7,0.0,0.0,0.0,0.9993745378531268,0.02415393041341408,0.010890000000000002,0.010416073116135632,0.0008158834302640046,0.00017855150915154915,1.1658245539400263e-6,3.996579882034991e-7,5.596414738275304e-6,7.731420973826991e-5,4.5736787806519344e-5,2.1599436929809527e-5,3.8974309800600324e-5,0.0007314652228219579,0.0009060083513296828,0.0008712000000000001,0.0028625535635997076,1.358696435828068e-6,1.363141552663258e-10,0.00016961598871296387,0.0003278701442482915,6.538751681192409e-8,0.0,0.0,0.0,0.9976505182559116,0.02415393041341408,0.010890000000000002,0.010825753339239954,0.002387139151854392,0.0010482346807883115,0.002969121016782396,0.00010193580919561098,0.0014358387235897585,0.0010479624929670137,0.0008478965556871483,0.00017698336215680118,0.0006710595376403415,0.0036669436898636174,0.001510239180631011,0.0008712000000000001,0.004612501592928238,7.612413299900765e-5,6.942391765046308e-7,0.006565941659590216,0.0005264202162304685,3.182665189071936e-7,0.0,0.0,0.0,0.9998151733942062
0.026149932332999816,9908,0.026149932332999816,0.010890000000000002,0.010724329398266265,0.0013418654865227854,0.00047181935587872076,0.0007723566044189447,1.1274951931672857e-5,0.0004105205783453852,0.00041916894943192846,0.0003735971197467589,8.987956835803011e-5,0.0002972810075614315,0.0020055360524188466,0.00097113327222919,0.0008712000000000001,0.003791188575392552,3.5436911095798117e-6,8.826627095881656e-10,0.0021520894884499136,0.0004276338067752577,1.1602050083882273e-7,0.0,0.0,0.0,0.9992874388208675,0.026149932332999816,0.010890000000000002,0.01036627085734199,0.0007601340145694034,0.00016032864233019552,1.084592321590292e-6,3.735941175145693e-7,4.4170549309748166e-6,8.844159856955048e-5,4.619733923580091e-5,2.111641545470932e-5,3.933716072129594e-5,0.0007229741333522016,0.0009081946644945652,0.0008712000000000001,0.002894774054711372,1.4096644379233552e-6,1.4396174764949174e-10,0.00022389163173226227,0.0003276989443125005,6.568544629254717e-8,0.0,0.0,0.0,0.997539503575353,0.026149932332999816,0.010890000000000002,0.010821094257237995,0.002227834389847534,0.0009712341311547085,0.0028393333159067234,9.427166286591567e-5,0.0013996104897901738,0.0010667716686359767,0.0008555732818839724,0.00017884236180705436,0.0006941026282986949,0.003659815919537794,0.0015464324126466275,0.0008712000000000001,0.004589821871242001,7.472247725086145e-5,6.546852116182487e-7,0.007032356246092051,0.0005266412056699551,3.257664304026473e-7,0.0,0.0,0.0,0.9997978744972277
0.028310877332026457,9913,0.028310877332026457,0.010890000000000002,0.010711107003208375,0.0012352225671521434,0.00043447951652630164,0.0007258333797592748,1.108299677750412e-5,0.0003956875798804472,0.00041842205081852165,0.00037472618783084764,9.002234872356073e-5,0.000297271315621409,0.0020303727361004956,0.0009797437669274813,0.0008712000000000001,0.0037949443160641243,3.7261744397910175e-6,9.748366957849925e-10,0.0024173025921345958,0.00042749989787385786,1.2005395387868669e-7,0.0,0.0,0.0,0.9992182395034914,0.028310877332026457,0.010890000000000002,0.010317784807224223,0.0007036945463375347,0.00015630357258430977,9.681218804336121e-7,3.590846879256137e-7,3.951736592494095e-6,9.284038336896362e-5,4.337442158142071e-5,2.086416334047022e-5,3.791447770756479e-5,0.0007160062410253488,0.0009110274449075519,0.0008712000000000001,0.0028977207780617083,1.4304523085850032e-6,1.5293660978384782e-10,0.0002559770872309663,0.000328679626096035,6.879518031354517e-8,0.0,0.0,0.0,0.9975102201324801,0.028310877332026457,0.010890000000000002,0.010815012719591757,0.002045914077786178,0.0008721285782865864,0.002865966825470125,0.00010439981631370393,0.0013910825350293824,0.0010506331350679087,0.0008672545214792428,0.0001834567413766465,0.0007177834396559784,0.0036733650459148605,0.0016131652082276688,0.0008712000000000001,0.0046141071419943435,8.167207008200839e-5,7.584040159347164e-7,0.0072437348661151075,0.0005281628179241173,3.418510715426257e-7,0.0,0.0,0.0,0.9997913084453323
0.030650395767854118,9903,0.030650395767854118,0.010890000000000002,0.010695791488474648,0.0011330229335237284,0.0003978980429876717,0.000631186773964809,1.0619147327494564e-5,0.000366994553992178,0.00041365628728219254,0.0003705219810672592,8.909402612628597e-5,0.00029288243317905334,0.0020448168038385626,0.0009897240332187895,0.0008712000000000001,0.0038033436036783016,3.957753211910604e-6,1.112880416752904e-9,0.002795009869113705,0.0004289136284286354,1.231758242699103e-7,0.0,0.0,0.0,0.9991250596874677,0.030650395767854118,0.010890000000000002,0.010280307261031232,0.0006565301354678308,0.00014856138616179068,8.946207522699274e-7,3.3920092438387336e-7,3.341022560385854e-6,0.00010479747277734414,4.4037030249752836e-5,2.0903742829434468e-5,3.9860044799258976e-5,0.0007335401654470464,0.0009146870486401445,0.0008712000000000001,0.0029296726622052615,1.4996655407508165e-6,1.6632725132955533e-10,0.0003497659984930952,0.0003282969541320298,7.147689321090829e-8,0.0,0.0,0.0,0.9973889636477418,0.030650395767854118,0.010890000000000002,0.010806641300711808,0.0018778108037473666,0.0008175712249092964,0.0027551216907540695,0.00010501262306934597,0.0013324733599015363,0.0010306303404405046,0.0008657918993970108,0.00018412875208483718,0.000704007817323551,0.003762470636204265,0.0017178351099002077,0.0008712000000000001,0.004604482239075914,8.273531540719179e-5,7.816774979953535e-7,0.0077503898292701,0.0005278021014147852,3.4831246107083e-7,0.0,0.0,0.0,0.9997694322230711
0.03318324436605673,9893,0.03318324436605673,0.010890000000000002,0.01067826621796538,0.0010455483851224755,0.00036728597169298055,0.0004866675693265341,1.0038531993701303e-5,0.00032020129847135754,0.0003952282885782139,0.0003567932587295559,8.653286869223954e-5,0.00028143516779342474,0.0020846197726309256,0.0009987236640729702,0.0008712000000000001,0.0037946747162428793,4.2406815843627e-6,1.3018409577777589e-9,0.003294164068009642,0.00042759954857662696,1.268215318744719e-7,0.0,0.0,0.0,0.9989962551385532,0.03318324436605673,0.010890000000000002,0.010230413136910489,0.0005986680120487742,0.0001356020873879533,8.793358217258769e-7,3.3539245390033e-7,2.765531612066979e-6,0.00010785204642472439,4.049377676119422e-5,1.942902820054166e-5,3.616776610417492e-5,0.0007083755445066027,0.0009178188787462619,0.0008712000000000001,0.0029293019610297983,1.5052975174367912e-6,1.7195594015476617e-10,0.00042180129986679944,0.0003285671680095586,7.387867025739099e-8,0.0,0.0,0.0,0.9972795043597807,0.03318324436605673,0.010890000000000002,0.010800961829134044,0.0017330045666136746,0.0007530203703343033,0.0026857129524358054,9.49457220665967e-5,0.0012490095789097692,0.001015105099779709,0.0008967787296544874,0.00018575055069983438,0.0007073949973353513,0.0037778257668794283,0.0018223472984221132,0.0008712000000000001,0.004621804771314209,9.054615857978348e-5,9.652838627997636e-7,0.008098268918977827,0.0005265648620069441,3.937540237469306e-7,0.0,0.0,0.0,0.9997519532720262
0.03592539929981228,9909,0.03592539929981228,0.010890000000000002,0.010663940866947722,0.000966966724366628,0.000338952936735955,0.00033472494450797205,9.139453026947638e-6,0.00026515276881381523,0.0003679048306145785,0.0003356828806278871,8.247602750036551e-5,0.0002629029805692211,0.0021429003904328784,0.0010100396285844303,0.0008712000000000001,0.0038048597466881578,4.8256273261477745e-6,1.6798490740679865e-9,0.003775691966467574,0.0004273566256370574,1.2934736291328727e-7,0.0,0.0,0.0,0.9988611542186914,0.03592539929981228,0.010890000000000002,0.010199334342452623,0.0005455330702267164,0.00012178581970416743,8.099155151016076e-7,3.3222290513877777e-7,2.4128844789021642e-6,0.00011181972592554746,3.721633533152319e-5,1.850541921902013e-5,3.2748735042702146e-5,0.0007474503846658078,0.0009221084803370772,0.0008712000000000001,0.0029612815583350068,1.6665175191618112e-6,2.0275855968087457e-10,0.0005333327959547805,0.00032881880880087245,7.52483191560971e-8,0.0,0.0,0.0,0.9971809665523711,0.03592539929981228,0.010890000000000002,0.010795995138756476,0.0016524080331844766,0.0006944226426632372,0.0026401132079102493,9.499678404607888e-5,0.001208619593545933,0.0009706672546909734,0.0008750892755857338,0.0001856539261474811,0.0007050113392967555,0.0038955586007709555,0.0018363918813388874,0.0008712000000000001,0.004607205767809818,0.00010444125733362504,1.2679473210221253e-6,0.008306403587185058,0.0005241936049799001,3.6475474670054235e-7,0.0,0.0,0.0,0.9997313833721017
0.038894156961069994,9885,0.038894156961069994,0.010890000000000002,0.010645469732683942,0.0008836886072646004,0.00031328037901392467,0.00022941334011037582,8.301064169755517e-6,0.000210715481811972,0.00035540682774481627,0.00031394509739928123,7.819660364484983e-5,0.00024659953261648267,0.0021993867563295235,0.0010197811212613321,0.0008712000000000001,0.003805519453119436,5.494276098238622e-6,2.21299796623948e-9,0.004272935847912623,0.0004284366034485872,1.3199775614970863e-7,0.0,0.0,0.0,0.9987235644526185,0.038894156961069994,0.010890000000000002,0.010158396476649957,0.000506050348111812,0.0001154302424719295,7.57604454496748e-7,3.086777175829641e-7,2.0562706096307394e-6,0.0001105834525373378,3.509406022691226e-5,1.7268692428105906e-5,3.2047146495246896e-5,0.0007588395743139449,0.0009264230851909394,0.0008712000000000001,0.0029731083154516764,1.7435200818132692e-6,2.1989518920167658e-10,0.000650599274441359,0.00033074035497164886,7.663995833961187e-8,0.0,0.0,0.0,0.9970702188645257,0.038894156961069994,0.010890000000000002,0.010788801955726757,0.0015049356421517857,0.0006482094321083539,0.0025446245822781746,8.756462483417677e-5,0.0011604544404483165,0.0009478211550649828,0.0008904156173562544,0.00018576295231394197,0.0007154713916627677,0.00396554146966464,0.0018964377895419656,0.0008712000000000001,0.004600001276952523,0.00010830857240841572,1.4230423611015656e-6,0.00862615530910741,0.0005262083782434749,3.830559966693105e-7,0.0,0.0,0.0,0.9997023235585079
0.042108243059117645,9888,0.042108243059117645,0.010890000000000002,0.010622727613072109,0.0008146058712547911,0.00028643566151444037,0.00011122612012966718,7.051346416073177e-6,0.00013271402327584645,0.00033242530190818423,0.00027856639424917644,7.23996940729192e-5,0.00021704366173408776,0.0022803872090860593,0.0010336509494453354,0.0008712000000000001,0.0038070843543509315,6.7596037484267116e-6,3.438453942374258e-9,0.004771024170133873,0.00042735593746185633,1.3693724587304095e-7,0.0,0.0,0.0,0.9985753928440276,0.042108243059117645,0.010890000000000002,0.010036153833751482,0.0004651872766491691,0.00011148270135214749,7.855550262988067e-7,3.153235810092765e-7,1.911911495802948e-6,0.00011720159946170265,3.3141398726842965e-5,1.740720694695602e-5,3.0785384592982255e-5,0.000743289541357115,0.0009306805217867883,0.0008712000000000001,0.0029526839457045414,1.8275648632296455e-6,2.465835736113904e-10,0.000712887761424127,0.0003307000837046322,8.029139772375073e-8,0.0,0.0,0.0,0.9969727179674522,0.042108243059117645,0.010890000000000002,0.010778128311296698,0.0013852229712123748,0.0005856716215217667,0.002514906174141429,7.298499168571807e-5,0.0011121808594173074,0.0009290934693414076,0.0008627277360790713,0.00018436981061832616,0.000703593951138176,0.004008466970826027,0.001961992571464937,0.0008712000000000001,0.0045981402192491585,0.00011920195868010836,1.677041165416601e-6,0.008813879010927879,0.0005255599609166108,3.828542628670941e-7,0.0,0.0,0.0,0.9996856780966448
